"Zeitstempel","meine Nutzer-ID:","hier habe ich das Pedal genutzt:","Heute ist ","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","Dafür habe ich die Pedale heute genutzt:","Das ist mir dabei aufgefallen:","*Platz für weitere Gedanken*"
"2024/10/18 12:45:30 PM MEZ","007","Büro","Tag 5 (Freitag)","6","5","4","3","4","5","4","6","4","5","5","3","6","4","3","4","6","5","3","4","3","5","5","5","4","3","Für dasselbe wie gestern. Ich habe an meinem Literature Review gearbeitet und dafür mit dem Pedal zwischen Fenstern gewechselt.","Ich habe sehr wenig über das Pedal nachgedacht. Copy-Paste benötigt immer noch etwas bewussteres Nachdenken als mit den Shortcuts, aber das habe ich heute auch nicht benutzt. 
Manchmal ist es schwer, abzuschätzen, ab wann das Pedal vollständig heruntergedrückt ist. Vor allem bei Tasks ohne visuelles Feedback (Copy in meinem Fall) ist es etwas frustrierend wenn man meint, man hätte das Pedal gedrückt, aber der Input nicht erkannt wird.",""
"2024/10/18 3:23:42 PM MEZ","009","Büro","Tag 5 (Freitag)","6","7","3","2","2","5","6","7","2","3","6","2","7","5","5","6","1","1","1","5","1","6","1","3","2","5","Gleiche Belegung wie gestern: Windows Tabübersicht, Browser zurück, neuer Tab","Die Dauerbrenner sind auf jeden Fall nützlich genug, dass ich sie nicht ersetzen wollte. Es scheint sich schon eine gewisse Gewöhnung eingestellt haben.",""
"2024/10/18 3:31:24 PM MEZ","008","Büro","Tag 5 (Freitag)","6","7","3","1","2","5","5","6","2","2","6","1","7","6","5","6","2","2","2","5","1","6","1","1","1","5","gar nicht, war unterwegs","",""
"2024/10/21 8:34:45 PM MEZ","012","Büro","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","hauptsächlich podcast schnibbeln","da heute keine maus mit sondertasten dabei, war pedal schon nice zu nutzen für so weirde shortcuts wie shift+entf und schnell zwischen den cut-modi (v & r) hin und her schalten, während man die finger easy auf touchpad/leertaste liegen lassen kann ohne viel bewegung. macht n sehr nicen workflow bei so schnibbel-sachen (approved by me!)

hab noch nicht ganz rausgefunden, wie ich mein Fuß entspannt lass (hab den meistens nebens Pedalboard, weil aufm Pedal wars etwas wackelig - weil Pedal schon sehr einfach zu betätigen so vom Widerstand her und hab dann noch nicht das gewünschte Pedal auf die schnelle gefunden und hab dann etwas zu arg getreten, aber wird wohl ne lernkurve werden).

sitz auch gemütlich mit den Füßen breiter auseinander als das board ist (bisschen viel manspreading von mir I think), deswegen hab ich fürs Nutzen andere Fußhaltung nehmen müssen, was am Anfang noch ned ganz so bequem war, aber man gewöhnt sich relativ schnell dran

das Kabel hat sich am anfang noch im mittleren pedal verfangen, aber easy fix: einfach kabel von hinten am tisch durchziehen uuuuuund beim zusammenpacken hab ich kurz bisschen auf die rucksack-sachen-einpack-reihenfolge achten müssen, damit das ding in rucksack passt (hat dann aber gut platz gehabt :D )","da kurze beine, war so n kleiner kompromiss zwischen tischhöhe mit easy arme ablegen und gut ans pedal kommen, aber war auch nur ne minute mal stuhlhöhen ausprobieren und dann hats gepasst

weil ich den Widerstand noch nicht einschätzen konnte und deswegen intuitiv härter getreten hab als wahrscheinlich nötig, hab ich mich paar mal entschuldigt für falls lärmbelästigung, hat aber tatsächlich niemanden gestört :D

bin auch schon oft unbewusst am überlegen (kann man unbewusst überlegen?) was ich als nächsten shortcut draufleg, damit ich das ding effizient einsetzen kann, weil heute schon guter Tag dafür mit schnibbeln, aaaber bin gespannt was mir so einfällt für eher standard daily arbeit (coden, folien machen und so)
"
"2024/10/21 9:15:41 PM MEZ","010","daheim / Homeoffice","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Beantworten von E-Mails, Notizen für die Uni verschriftlichen, andere Kleinigkeiten um das Pedal kennen zu lernen","Ich habe mich sehr leicht daran gewöhnt den linken Fuß für die linke Maustaste und den rechten Fuß für die Enter-Taste zuverwenden. ",""
"2024/10/22 1:26:39 AM MEZ","11","daheim / Homeoffice;Uni","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Zum Schreiben von Dokumenten und der Suche im Internet","Grundsätzlich dachte ich mir copy und paste würde ich beim schreiben viel verwenden, war aber gar nicht so, aber dafür habe ich Enter öfter hergenommen","Das Pedal mit Socken zuhause zu benutzen fand ich angenehmer als mit Schuhen in der Uni, aber zuhause war die Verlockung größer in einer Sitzposition zu sitzen in der nur 1 Fuß oder gar kein Fuß am Boden ist."
"2024/10/22 9:07:58 PM MEZ","012","daheim / Homeoffice;Büro","Tag 2 (Dienstag)","5","7","2","2","2","6","6","7","2","2","6","1","7","6","5","6","2","1","2","6","1","6","1","3","3","6","programmieren (toggle comments)","weniger benutzt als erhofft, aber war auch nicht so viel im workflow und heut war eher so tipp und bug fix research day und immer wieder unterbrochen durch anderen stuff. 

Nach wie vor find ich pedal nice wenn mans mit handverrenkungs-shortcuts belegt, wie toggle comment gedöns in VSC. einmal getreten und boom is der code kommentiert. nicht mehr suchen ob beide hände richtig liegen und überlegen was nochmal der shortcut fürs kommentieren war. Obwohl ich heut tatsächlich paar mal den shortcut an sich ändern musste, weil ich kein ""#"" einstellen konnte (kann auch sein dass ichs nicht gesehen hab). hab dann ne Reihenfolge am pedal erstellt und das dann in VSC als shortcut rein. Ein paar Symbole haben dann nur ned mit VSC funktioniert, deswegen warens glaub ich 4 oder 5 Belegungseinstellungen","heut Abend zum ersten mal ohne Schuhe mal benutzt. schon bessere experience als mit schuhen im Büro (auch weniger übermäßig hart drauf getreten weil surprise mehr Gefühl). möchte aber niemanden im büro mit Stinkefüßchen belästigen. Zweites Problem: Sobald ich schuhe ausgezogen hab und grad das Pedal nicht aktiv im Hirnlappen hab, sitz ich auch überraschend schnell im halben Schneidersitz, wo kein Fuß in der Nähe des Bodens is.

ich glaub ich bin manchmal zu faul die Belegung zu ändern. glaub so strg+a, copy, past würd ich auch dann durchs pedal öfter nutzen, aber müsste ich halt zwischendurch umstellen und dafür sind die drei Shortcuts glaub ich zu gut schon in der muscle memory drin. "
"2024/10/22 10:09:24 PM MEZ","010","daheim / Homeoffice","Tag 2 (Dienstag)","7","7","2","2","1","7","7","6","2","1","6","1","7","7","6","6","1","1","2","6","1","7","1","1","2","6","Verschriftlichung von Notizen; erledigen von Uni-Aufgaben; ein paar private Notizen","Das mittlere Pedal gerät oft in Vergessenheit. Ich benutze hauptsächlich das Linke und das Rechte. Sozusagen eins für jeden Fuß. ","Ich habe heute die Funktionalität des mittleren und rechten Pedals getauscht und geändert, da ich das Pedal als Leertaste austesten wollte, da man diese taste beim schreiben ja sehr häufig benutzt. Da ist mir stark aufgefallen, dass es nicht ganz so einfach ist sich daran zu gewöhnen den Fuß anstatt des Daumens zu verwenden. Trotzdem ist es irgendwie interessant es so zu verwenden."
"2024/10/23 12:32:47 AM MEZ","11","daheim / Homeoffice","Tag 2 (Dienstag)","5","7","1","2","4","7","7","6","4","2","7","2","7","7","7","5","3","2","3","5","1","6","1","1","1","6","Bearbeiten und Schreiben in Dokumenten und Internetsuche","Manchmal vergesse ich so ein bisschen, dass das Pedal auch noch als zusätzliche Möglichkeit existiert (hauptsächlich wenn meine Sitzposition nicht ermöglicht das Pedal zu bedienen), aber wenn ich es dann einmal wieder benutze benutz ich es häufiger hintereinander.","Ich habe die Tasten etwas umgestellt, da ich feststellen musste, dass Enter eher nicht hilfreich bei meinen Arbeiten war, aber der linke Mausklick manchmal ganz nützlich sein kann."
"2024/10/23 9:18:34 PM MEZ","012","Büro;Uni","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","Folien bearbeiten, Übung halten ","Fand's ganz entspannt Folien mit dem guten Stück weiterzuschalten bzw zurückzuschalten bzw allgemein zu starten weil ich schon eher Typ viel gestikulieren beim Übung halten bin (#pewpewpewhände). Hab das Gefühl mit Pedal is mein rede/Vorstellungsflow flüssiger bzw weniger unterbrochen als mit Finger auf Tastatur und dann weiterschalten","Hab heut leider nicht so viel benutzen können wie gewollt und ich hätte echt Bock das so richtig auszunutzen, aber irgendwie grad im Zeitdruck mit bekannten Workflows noch bissl schwer umzuswitchen auf Pedale. 

Studis fandens auch ganz interessant btw wie ich vorne mit Pedalen steh und damit die präse halte, also dachte kurz oh my ob sich jemand dabei was denkt (was mir eigentlich auch egal wäre), aber die Gesichtsausdrücke hab ich eigentlich positiv von allen interpretiert"
"2024/10/23 9:33:48 PM MEZ","010","daheim / Homeoffice","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","Verschriftlichung von Notizen; Privates Schreibprojekt weitergeschrieben.","Wenn ich vertiefter war, hatte ich zwischendurch total vergessen das Pedal zu benutzen. Ich hatte die Funktionalitäten des mittleren und rechten Pedals wieder geändert, da es doch etwas hinderlicher war, das rechte Pedal als Leertaste zu verwenden.","Da ich heute mal mehr vertieft in meiner Aufgabe war, fiel mir auf, dass es doch schwieriger ist, gewohnte Arbeitsmuster zu verändern. Das Pedal kann auf jedenfall eine große Hilfe sein, aber es muss die Funktionalität einer oder mehrerer Tasten übernehmen, die bei normaler Benutzung einen etwas mehr behindern und den Arbeitsprozess erleichtern. Für das linke Pedal habe ich diese für mich auf jeden Fall mit der Funktionalität der linken Maustaste gefunden. Für die anderen Beiden teste ich noch herum."
"2024/10/24 2:48:34 AM MEZ","11","daheim / Homeoffice","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","größtenteils Internetsuche und wenig Dokumente schreiben","Heute habe ich eine etwas andere Kombi ausgetestet und die Pedale von copy und paste auf lauter und leise umgestellt, um Musik im Hintergrund mit den Pedalen anzupassen. Das hat tatsächlich besser funktioniert, als gedacht!",""
"2024/10/24 9:23:31 PM MEZ","012","Uni","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Übung, Folien schalten ","Liebs mittlerweile Folien mit dem Ding zu starten/weiterzuschalten (selbst im Stehen). 

Ich glaub ich bin immer noch super faul mit den shortcuts umändern, deswegen heute glaub ich nur einmal Copy/paste ausprobiert und dann zurück auf Folien Belegung","Heut nicht so viel zu sagen, weil nichts viel neues gemacht :')"
"2024/10/24 10:05:42 PM MEZ","010","daheim / Homeoffice","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Notizen verschriftlichen","Ich habe heute noch einmal eine andere Kombination für das mittlere und rechte Pedal ausprobiert. Dabei ist mir aufgefallen, dass ich für das rechte Pedal die Funktionalität der Enter-Taste für mich passend finde. Zwar benutzt man das Pedal etwas weniger, aber es erleichtert trotzdem ein paar Arbeitsschritte.","Heute hatte ich leider weniger Zeit das Pedal zu nutzen. Ich wollte es eigentlich mit in die Uni nehmen, aber da es doch etwas größer ist, hatte ich keinen Platz gehabt. Von der Größe her würde ich auch sagen, dass die drei Pedale eher stationär, z.B. im Büro oder zu Hause gut genutzt werden können. Für unterwegs wäre ein einzelnes vermutlich hilfreicher. "
"2024/10/25 12:13:43 PM MEZ","11","daheim / Homeoffice","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Hauptsächlich zum Zeichnen, aber auch zur Internetsuche und zum Schreiben.","Dadurch dass man beim Zeichnen gerne mal häufiger hintereinander Strg+Z benutzt, hatte ich kurzzeitig angst, dass ich das pedal nicht gedrückt halte (weil bei Tastenkombis ja da das Problem war), aber es war tatsächlich sehr hilfreich beim Zeichnen! Manchmal vergesse ich zwar dass das Pedal existiert, einfach weil ich mich noch nicht wirklich daran gewöhnt habe, aber ich glaube mit mehr Routine beim Arbeiten hiermit könnte es sehr hilfreich sein!","Heute (bzw gestern (war ein bisschen zu sehr vertieft ins Zeichnen)) habe ich weitere Tastenkombis und eine andere Arbeit ausgewählt, um die Tastenkombi speziell an das Zeichnen anzupassen, dabei war Undo und Redo auf jeden Fall sehr wichtig und die dritte Taste habe ich einfach auf leiser gelassen.
Bisher würde ich sagen, dass das Pedal mir beim Zeichnen am meisten geholfen hat. Ich habe zwar sowohl am Zeichenstift als auch am Zeichentablett einen Knopf für Undo, aber am meisten benutzt hab ich entweder das Pedal oder den undo und redo Knopf im Programm selber."
"2024/10/25 3:30:11 PM MEZ","012","Büro","Tag 5 (Freitag)","6","7","2","1","2","5","6","7","2","2","7","1","7","6","6","7","2","2","2","6","1","6","1","3","2","6","copy/paste, musik weiterschalten","mittlerweile find ich echt gut/einfach/intuitiv die Pedale mit den Füßen, tritt auch nicht mehr so übermäßig drauf. 

für Musik weiterschalten (heut zum ersten mal ausprobiert) fand ich praktisch, praktischer als shortcuts draufzunehmen im normalen Arbeitskontext (auch wenn das meine Hauptbelegung war). Wenn ich jetzt noch n Tag mit Fokus-Workflow (coden, schreiben, ..) vor hätte, wo ich sehr viel Musik höre, würd ich auf jeden Fall Next track und Play/Pause auf ein Pedal legen und das dritte für n shortcut (copy, paste, alles auswählen, ...) lassen","Falls mans weiterführen wollen würde, fänd ich vllt so 3 presets ganz nice zum schnellen wechseln (ich glaub noch ne Woche ausprobieren und dann hätte ich so Plan wie ichs voll gut für gewisse Kontexte einbauen könnte und dann wär das voll effizient schnell hin und her zu wechseln)"
"2024/10/25 4:57:25 PM MEZ","010","daheim / Homeoffice","Tag 5 (Freitag)","6","7","2","1","2","6","7","6","1","2","6","1","6","7","6","7","1","3","1","6","1","6","2","1","1","6","für ein privates Schreibprojekt","Für mich war das linke Pedal bzw. die Funktion der linken Maustaste für das Pedal am Hilfreichsten. Die Pedale können bei längerem austesten auf jeden Fall gut in die Pc-Tätigkeiten eingebut werden. Es war allerdings doch etwas schwierig die passende Kombination zu finden. ","Ich habe die Woche über die Pedale doch viel weniger genutzt, als ich eigentlich wollte. Ein Problem war eben, dass es etwas zu groß bzw. zu sperrig war um es mit in die uni zu nehmen. Andererseits hatte ich in dieser Woche weniger Aufgaben gehabt, bei denen das Pedal mir etwas brachte. Bei einer Aufgabe allerdings fand ich es sehr Hilfreich. Für einen Kurs haben wir Lerneinheiten, die eine Art Präsentation darstellen, die mit einem Mausklick weiter geblättert wird. Hier konnte ich einmalig mit dem integrierten Mauspad die Maus darauf platzieren und dann immer mit dem Pedal weiter drücken, während ich in meinem Notizbuch ungehindert den Stoff aufschreiben konnte. Deshalb wäre für mich ein einziges Pedal mit der Funktion der linken Maustaste am Hilfreichsten."
"2024/10/26 4:12:15 AM MEZ","11","daheim / Homeoffice","Tag 5 (Freitag)","7","7","1","2","2","7","7","6","3","1","7","2","7","7","7","6","2","2","2","5","1","6","1","1","1","7","Für Internetsuche und Zeichnungen","Grundsätzlich das gleiche wie gestern, nur dass es heute vermehrt dazu kam, dass ich meine Beine nicht am Boden hatte, weil es sehr kalt war. Das hat wiederum dazu geführt, dass ich es manchmal vergessen oder nicht benutzt habe.","Grundsätzlich ist mir noch aufgefallen, dass ich das Pedal meistens nur mit einen Fuß bediene. Welcher das ist wechselt sich tatsächlich relativ regelmäßig ab. Schuld daran ist wahrscheinlich das dauernde Umstellen von meiner Sitzposition und die potentielle Kälte. Trotzdem war es beim Zeichnen doch eine angenehme Hilfe."
